Client ID,Name,Age,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Fee Structure,Loyalty Classification,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,GenderId,IAId,Product_Count,Total_Financial_Value,Customer_Value,Recency_Years,Frequency,Monetary,Tenure,Debt_Income_Ratio,Credit_Utilization,Predicted_Customer_Value,Predicted_Value_Segment
IND81288,Raymond Mills,24,34324,2019-06-05,Anthony Torres,American,Safety Technician IV,High,Jade,75384.77,17677.95,1,484.54,776242.92,1485828.64,603617.88,607332.46,12249.96,1134475.3,1,2,1,1,1,7,4637425.109999999,4712809.879999999,6.978082191780822,7,75384.77,7.0,10.296942247853938,242.27,4294875.277117469,VIP
IND65833,Julia Spencer,23,42205,2001-10-12,Jonathan Hawkins,African,Software Consultant,High,Jade,289834.31,17398.92,1,2256.88,1270615.43,641482.79,229521.37,344635.16,61162.31,2000526.1,1,3,2,1,2,7,4565342.08,4855176.39,24.635616438356163,7,289834.31,25.0,4.383922131502887,1128.44,4767130.548975613,VIP
IND47499,Stephen Murray,27,7314,,Anthony Berry,European,Help Desk Operator,High,Gold,169935.23,42825.9,2,4568.74,1052715.84,1033401.59,652674.69,203054.35,79071.78,548137.58,1,3,3,2,3,7,3611881.7300000004,3781816.9600000004,15.305479452054794,7,169935.23,15.0,6.194769885150447,1522.9133333333332,3821965.8314921786,High Value
IND72498,Virginia Garza,40,34594,,Steve Diaz,American,Geologist II,Mid,Silver,356808.11,5473.15,2,4205.0,121195.06,1048157.49,1048157.49,234685.02,57513.65,1148402.29,0,4,4,1,4,7,3663584.15,4020392.26,15.305479452054794,7,356808.11,15.0,0.33966358089904153,1401.6666666666667,3996450.021361481,VIP
IND60181,Melissa Sanders,46,41269,,Shawn Long,American,Assistant Professor,Mid,Platinum,130711.68,48077.6,1,3779.49,1048301.95,487782.53,446644.25,128351.45,30012.14,1674412.12,0,3,1,2,5,7,3863582.04,3994293.72,15.305479452054794,7,130711.68,15.0,8.019894856413318,1889.745,3906305.668347918,VIP
IND78532,Samuel Hudson,23,13204,2019-07-02,Douglas Tucker,American,Help Desk Technician,High,Silver,118326.96,6028.2,2,5148.56,601902.5,1307269.41,745627.74,238310.37,15615.18,1556031.06,1,2,1,1,6,7,4470784.46,4589111.42,6.904109589041096,7,118326.96,7.0,5.086730980572977,1716.1866666666667,4737659.266851219,VIP
IND95683,Timothy Alexander,46,42910,2002-02-06,Douglas Tucker,Asian,Account Coordinator,High,Gold,57336.47,13929.16,1,959.9,208909.69,41200.18,60588.5,24639.33,3045.78,154111.62,1,1,1,2,7,7,506424.25999999995,563760.73,24.315068493150687,7,57336.47,24.0,3.643510779251334,479.95,582082.3949724976,Low Value
IND40785,Carl Martin,78,6127,2000-03-11,Steve Diaz,European,Automation Specialist II,Mid,Gold,65125.8,31077.8,1,4576.58,1140704.8,156983.13,53889.73,46813.78,51979.19,1171456.68,0,2,2,2,8,7,2652905.1100000003,2718030.91,26.224657534246575,7,65125.8,26.0,17.51513662578232,2288.29,2923693.8933854573,High Value
IND13570,Philip Day,67,32656,2015-07-04,Bruce Butler,Asian,Software Test Engineer II,High,Silver,87849.47,9385.35,1,78.62,803444.46,1242347.22,328334.62,279528.12,27125.28,464560.28,0,1,2,2,9,7,3154725.33,3242574.8000000003,10.901369863013699,7,87849.47,11.0,9.145590911465812,39.31,3312457.6868131785,High Value
IND53299,Jason Sims,51,28340,,Joe Price,European,Geologist III,Mid,Silver,65369.36,27364.8,3,4836.86,60027.9,317246.67,111532.03,115869.39,48043.52,908583.94,2,1,3,1,10,7,1588668.25,1654037.61,15.305479452054794,7,65369.36,15.0,0.918273970037797,1209.215,1768583.9686108974,Medium Value
